fold,epoch,train_loss,mAP,mAP_50,mAR,inference_ms
0,1,0.4654584132134914,0.0475080136814707,0.076746335827114,0.0613239621643453,91.82229125024604
0,2,0.3571707894280553,0.0497813701454758,0.0785388003991454,0.0625592955176039,178.47051925011328
0,3,0.3407818336039782,0.0495736603947427,0.0780795189690426,0.0620434197415793,92.40329575015494
1,1,0.4727400681376457,0.0466786837602651,0.0751759749393056,0.0591473510132992,91.70810775001884
1,2,0.3634942752867937,0.0478580713772739,0.0752676363509371,0.060598956921203,91.93818224997813
1,3,0.3494589571654796,0.0484356383688842,0.0762186438781067,0.060116706362538,92.17085300002508
2,1,0.4740548644214868,0.0458703475995748,0.0786366635807704,0.05797494752485,92.14377699994655
2,2,0.365897678360343,0.0475778791791306,0.0802830454509815,0.0595600486157675,93.51922424993973
2,3,0.3526994952186942,0.0499556173748772,0.0808972556531997,0.0602633164826637,93.73911674996634
3,1,0.4614486794173718,0.0427593016335069,0.0698141221745033,0.0551491564875057,92.24824174991228
3,2,0.3570382668823004,0.0446285371029141,0.0705937109963358,0.0555220344003033,92.21331999993708
3,3,0.3434173186868429,0.0448869384055906,0.0711196211481232,0.0561263367183747,92.55743250014348
4,1,0.4776142961531877,0.0438765819011505,0.0720410149257392,0.0551674584954839,92.3634502499408
4,2,0.3563935224711895,0.0462259211485054,0.0733404567731854,0.0562364950456403,92.326286000025
4,3,0.3436077422648668,0.0458354198056836,0.0732404491497836,0.0562129193523462,91.81004400019448
